Ciudad,Fecha,Temperatura
Medellín,1/1/2025,18.47
Medellín,2/1/2025,19.80
Medellín,3/1/2025,18.60
Medellín,4/1/2025,19.27
Medellín,5/1/2025,18.80
Medellín,6/1/2025,20.13
Medellín,7/1/2025,20.87
Medellín,8/1/2025,21.60
Medellín,9/1/2025,20.07
Medellín,10/1/2025,20.00
Medellín,11/1/2025,20.87
Medellín,12/1/2025,20.47
Medellín,13/1/2025,20.07
Medellín,14/1/2025,19.53
Medellín,15/1/2025,20.07
Medellín,16/1/2025,20.33
Medellín,17/1/2025,20.07
Medellín,18/1/2025,19.93
Medellín,19/1/2025,19.87
Medellín,20/1/2025,19.87
Medellín,21/1/2025,20.53
Medellín,22/1/2025,20.93
Medellín,23/1/2025,21.13
Medellín,24/1/2025,19.20
Medellín,25/1/2025,20.40
Medellín,26/1/2025,20.40
Medellín,27/1/2025,21.60
Medellín,28/1/2025,21.73
Medellín,29/1/2025,21.50
Medellín,30/1/2025,21.73
Medellín,31/1/2025,22.53
Medellín,1/2/2025,21.67
Medellín,2/2/2025,21.73
Medellín,3/2/2025,20.40
Medellín,4/2/2025,19.87
Medellín,5/2/2025,18.80
Medellín,6/2/2025,20.53
Medellín,7/2/2025,21.00
Medellín,8/2/2025,19.33
Medellín,9/2/2025,18.47
Medellín,10/2/2025,20.13
Medellín,11/2/2025,18.33
Medellín,12/2/2025,20.47
Medellín,13/2/2025,20.40
Medellín,14/2/2025,19.40
Medellín,15/2/2025,19.80
Medellín,16/2/2025,18.00
Medellín,17/2/2025,18.60
Medellín,18/2/2025,19.20
Medellín,19/2/2025,19.00
Medellín,20/2/2025,21.13
Medellín,21/2/2025,19.80
Medellín,22/2/2025,19.53
Medellín,23/2/2025,20.87
Medellín,24/2/2025,20.07
Medellín,25/2/2025,19.87
Medellín,26/2/2025,21.33
Medellín,27/2/2025,21.67
Medellín,28/2/2025,20.40
Villavicencio,1/1/2025,27.10
Villavicencio,2/1/2025,27.70
Villavicencio,3/1/2025,23.35
Villavicencio,4/1/2025,25.50
Villavicencio,5/1/2025,22.85
Villavicencio,6/1/2025,25.33
Villavicencio,7/1/2025,27.25
Villavicencio,8/1/2025,27.35
Villavicencio,9/1/2025,27.65
Villavicencio,10/1/2025,27.55
Villavicencio,11/1/2025,27.95
Villavicencio,12/1/2025,26.40
Villavicencio,13/1/2025,26.80
Villavicencio,14/1/2025,27.60
Villavicencio,15/1/2025,26.90
Villavicencio,16/1/2025,27.80
Villavicencio,17/1/2025,27.45
Villavicencio,18/1/2025,27.05
Villavicencio,19/1/2025,27.55
Villavicencio,20/1/2025,27.55
Villavicencio,21/1/2025,26.90
Villavicencio,22/1/2025,26.95
Villavicencio,23/1/2025,27.40
Villavicencio,24/1/2025,26.20
Villavicencio,25/1/2025,23.35
Villavicencio,26/1/2025,24.48
Villavicencio,27/1/2025,26.85
Villavicencio,28/1/2025,26.80
Villavicencio,29/1/2025,27.10
Villavicencio,30/1/2025,23.45
Villavicencio,31/1/2025,24.85
Villavicencio,1/2/2025,27.20
Villavicencio,2/2/2025,27.50
Villavicencio,3/2/2025,27.80
Villavicencio,4/2/2025,28.10
Villavicencio,5/2/2025,27.90
Villavicencio,6/2/2025,28.05
Villavicencio,7/2/2025,27.25
Villavicencio,8/2/2025,27.55
Villavicencio,9/2/2025,28.23
Villavicencio,10/2/2025,26.40
Villavicencio,11/2/2025,27.50
Villavicencio,12/2/2025,27.70
Villavicencio,13/2/2025,27.90
Villavicencio,14/2/2025,28.95
Villavicencio,15/2/2025,27.45
Villavicencio,16/2/2025,28.15
Villavicencio,17/2/2025,28.50
Villavicencio,18/2/2025,28.50
Villavicencio,19/2/2025,27.80
Villavicencio,20/2/2025,28.85
Villavicencio,21/2/2025,27.30
Villavicencio,22/2/2025,24.85
Villavicencio,23/2/2025,25.20
Villavicencio,24/2/2025,26.70
Villavicencio,25/2/2025,25.80
Villavicencio,26/2/2025,28.40
Villavicencio,27/2/2025,26.50
Villavicencio,28/2/2025,27.10
Bogotá,1/1/2025,14.50
Bogotá,2/1/2025,14.92
Bogotá,3/1/2025,13.88
Bogotá,4/1/2025,15.10
Bogotá,5/1/2025,14.45
Bogotá,6/1/2025,13.97
Bogotá,7/1/2025,15.22
Bogotá,8/1/2025,14.61
Bogotá,9/1/2025,13.90
Bogotá,10/1/2025,15.05
Bogotá,11/1/2025,14.15
Bogotá,12/1/2025,13.78
Bogotá,13/1/2025,15.30
Bogotá,14/1/2025,14.67
Bogotá,15/1/2025,13.80
Bogotá,16/1/2025,15.15
Bogotá,17/1/2025,14.27
Bogotá,18/1/2025,13.55
Bogotá,19/1/2025,14.95
Bogotá,20/1/2025,13.07
Bogotá,21/1/2025,14.93
Bogotá,22/1/2025,13.60
Bogotá,23/1/2025,12.67
Bogotá,24/1/2025,13.47
Bogotá,25/1/2025,14.67
Bogotá,26/1/2025,13.85
Bogotá,27/1/2025,14.27
Bogotá,28/1/2025,14.00
Bogotá,29/1/2025,14.33
Bogotá,30/1/2025,12.47
Bogotá,31/1/2025,14.60
Bogotá,1/2/2025,13.73
Bogotá,2/2/2025,15.73
Bogotá,3/2/2025,14.10
Bogotá,4/2/2025,15.40
Bogotá,5/2/2025,16.40
Bogotá,6/2/2025,16.07
Bogotá,7/2/2025,15.33
Bogotá,8/2/2025,14.80
Bogotá,9/2/2025,14.05
Bogotá,10/2/2025,15.87
Bogotá,11/2/2025,13.87
Bogotá,12/2/2025,15.73
Bogotá,13/2/2025,15.27
Bogotá,14/2/2025,14.00
Bogotá,15/2/2025,15.27
Bogotá,16/2/2025,14.65
Bogotá,17/2/2025,15.80
Bogotá,18/2/2025,14.60
Bogotá,19/2/2025,15.20
Bogotá,20/2/2025,15.73
Bogotá,21/2/2025,15.40
Bogotá,22/2/2025,14.95
Bogotá,23/2/2025,13.80
Bogotá,24/2/2025,14.22
Bogotá,25/2/2025,15.60
Bogotá,26/2/2025,14.75
Bogotá,27/2/2025,15.35
Bogotá,28/2/2025,15.10
Manizales,1/1/2025,15.50
Manizales,2/1/2025,17.05
Manizales,3/1/2025,14.20
Manizales,4/1/2025,13.90
Manizales,5/1/2025,16.05
Manizales,6/1/2025,15.50
Manizales,7/1/2025,15.70
Manizales,8/1/2025,16.20
Manizales,9/1/2025,15.30
Manizales,10/1/2025,15.80
Manizales,11/1/2025,14.50
Manizales,12/1/2025,15.35
Manizales,13/1/2025,16.40
Manizales,14/1/2025,15.55
Manizales,15/1/2025,16.10
Manizales,16/1/2025,14.80
Manizales,17/1/2025,15.95
Manizales,18/1/2025,15.50
Manizales,19/1/2025,14.25
Manizales,20/1/2025,15.20
Manizales,21/1/2025,16.45
Manizales,22/1/2025,15.30
Manizales,23/1/2025,16.00
Manizales,24/1/2025,14.30
Manizales,25/1/2025,15.80
Manizales,26/1/2025,16.25
Manizales,27/1/2025,15.25
Manizales,28/1/2025,15.65
Manizales,29/1/2025,15.90
Manizales,30/1/2025,16.45
Manizales,31/1/2025,15.90
Manizales,1/2/2025,16.55
Manizales,2/2/2025,15.55
Manizales,3/2/2025,15.20
Manizales,4/2/2025,15.00
Manizales,5/2/2025,14.70
Manizales,6/2/2025,14.50
Manizales,7/2/2025,15.80
Manizales,8/2/2025,16.35
Manizales,9/2/2025,15.45
Manizales,10/2/2025,14.75
Manizales,11/2/2025,15.10
Manizales,12/2/2025,15.40
Manizales,13/2/2025,16.00
Manizales,14/2/2025,14.45
Manizales,15/2/2025,15.60
Manizales,16/2/2025,14.50
Manizales,17/2/2025,15.30
Manizales,18/2/2025,14.45
Manizales,19/2/2025,15.00
Manizales,20/2/2025,15.10
Manizales,21/2/2025,15.70
Manizales,22/2/2025,16.20
Manizales,23/2/2025,15.30
Manizales,24/2/2025,14.95
Manizales,25/2/2025,14.85
Manizales,26/2/2025,16.40
Manizales,27/2/2025,15.80
Manizales,28/2/2025,15.05
Cartagena,1/1/2025,28.95
Cartagena,2/1/2025,28.60
Cartagena,3/1/2025,26.95
Cartagena,4/1/2025,27.50
Cartagena,5/1/2025,26.60
Cartagena,6/1/2025,29.80
Cartagena,7/1/2025,28.60
Cartagena,8/1/2025,28.35
Cartagena,9/1/2025,28.95
Cartagena,10/1/2025,28.00
Cartagena,11/1/2025,28.75
Cartagena,12/1/2025,28.20
Cartagena,13/1/2025,28.10
Cartagena,14/1/2025,27.95
Cartagena,15/1/2025,28.10
Cartagena,16/1/2025,27.80
Cartagena,17/1/2025,27.40
Cartagena,18/1/2025,27.60
Cartagena,19/1/2025,27.90
Cartagena,20/1/2025,27.95
Cartagena,21/1/2025,27.50
Cartagena,22/1/2025,27.60
Cartagena,23/1/2025,28.05
Cartagena,24/1/2025,27.95
Cartagena,25/1/2025,27.65
Cartagena,26/1/2025,28.15
Cartagena,27/1/2025,27.00
Cartagena,28/1/2025,27.35
Cartagena,29/1/2025,27.00
Cartagena,30/1/2025,27.90
Cartagena,31/1/2025,29.00
Cartagena,1/2/2025,27.65
Cartagena,2/2/2025,27.80
Cartagena,3/2/2025,27.65
Cartagena,4/2/2025,27.00
Cartagena,5/2/2025,27.50
Cartagena,6/2/2025,27.20
Cartagena,7/2/2025,27.10
Cartagena,8/2/2025,27.00
Cartagena,9/2/2025,27.00
Cartagena,10/2/2025,26.00
Cartagena,11/2/2025,27.50
Cartagena,12/2/2025,28.00
Cartagena,13/2/2025,27.75
Cartagena,14/2/2025,27.55
Cartagena,15/2/2025,27.00
Cartagena,16/2/2025,28.00
Cartagena,17/2/2025,27.85
Cartagena,18/2/2025,27.95
Cartagena,19/2/2025,28.70
Cartagena,20/2/2025,29.00
Cartagena,21/2/2025,28.15
Cartagena,22/2/2025,28.60
Cartagena,23/2/2025,28.35
Cartagena,24/2/2025,28.80
Cartagena,25/2/2025,28.80
Cartagena,26/2/2025,28.75
Cartagena,27/2/2025,28.30
Cartagena,28/2/2025,28.50
